model,cell,condition,mass_kg,n_episodes,success_rate,grasp_rate,lift_rate,t_success_mean_s,drop_after_lift_rate
pi05_robocasa,PickPlaceCounterToCabinet,MassLight,0.15000000000000002,35,0.2571428571428571,0.9714285714285714,0.4857142857142857,25.505555555555553,0.11428571428571428
pi05_robocasa,PickPlaceCounterToCabinet,MassMedium,0.6000000000000001,35,0.4857142857142857,0.9142857142857143,0.5428571428571428,23.799999999999997,0.08571428571428572
pi05_robocasa,PickPlaceCounterToCabinet,MassHeavy,1.2000000000000002,35,0.42857142857142855,1.0,0.5714285714285714,24.876666666666672,0.17142857142857143
